"College","Branch","Quota","Category","Gender","O.R.","C.R."
"Indian Institute  of Technology Bhubaneswar","Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","Gender-Neutral","918","918"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","1621","2193"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","3221","5005"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","97","97"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","257","292"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","685","685"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","443","740"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","1244","2120"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL (PwD)","Gender-Neutral","52","52"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","240","415"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","850","910"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","144","259"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","462","462"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Gender-Neutral","2293","2710"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Female-only (including Supernumerary)","5150","5150"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","EWS","Gender-Neutral","415","415"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Gender-Neutral","961","1062"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Female-only (including Supernumerary)","2251","2251"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL (PwD)","Gender-Neutral","63P","63P"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Gender-Neutral","265","265"
"Indian Institute  of Technology Bhubaneswar","Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","Gender-Neutral","378","378"
"Indian Institute  of Technology Bhubaneswar","Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Gender-Neutral","5104","6146"
"Indian Institute  of Technology Bhubaneswar","Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","Female-only (including Supernumerary)","12517","12517"
"Indian Institute  of Technology Bhubaneswar","Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","EWS","Gender-Neutral","955","955"
"Indian Institute  of Technology Bhubaneswar","Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","EWS","Female-only (including Supernumerary)","2113","2113"
"Indian Institute  of Technology Bhubaneswar","Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","Gender-Neutral","2036","2640"
"Indian Institute  of Technology Bhubaneswar","Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","Gender-Neutral","1602","1602"
"Indian Institute  of Technology Bhubaneswar","Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","Gender-Neutral","833","833"
"Indian Institute  of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","4556","5490"
"Indian Institute  of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","8944","11090"
"Indian Institute  of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","148P","148P"
"Indian Institute  of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","587","851"
"Indian Institute  of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","1648","1648"
"Indian Institute  of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","1721","2172"
"Indian Institute  of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","4548","5064"
"Indian Institute  of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","1061","1482"
"Indian Institute  of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","1348","1833"
"Indian Institute  of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","539","655"
"Indian Institute  of Technology Bhubaneswar","Electrical Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","999","999"
"Indian Institute  of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","2918","3966"
"Indian Institute  of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","7307","8253"
"Indian Institute  of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","73P","166P"
"Indian Institute  of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","471","499"
"Indian Institute  of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","1101","1101"
"Indian Institute  of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","1085","1548"
"Indian Institute  of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","3079","3173"
"Indian Institute  of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","762","1023"
"Indian Institute  of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","1499","1640"
"Indian Institute  of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","335","476"
"Indian Institute  of Technology Bhubaneswar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","Female-only (including Supernumerary)","680","680"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","6718","7847"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","11522","15299"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","1002","1265"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","EWS","Female-only (including Supernumerary)","2293","3464"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","2593","3159"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","5627","7337"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","1429","1780"
"Indian Institute  of Technology Bhubaneswar","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","2821","2821"
