"College","Branch","Quota","Category","Gender","O.R.","C.R."
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","58262","70904"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","64573","64573"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","1023","1023"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","10820","11678"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","19996","22733"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","24096","24096"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","9874","11882"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","12998","12998"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","4396","4396"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","134130","228650"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","167538","167538"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","EWS","Gender-Neutral","33142","34480"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Gender-Neutral","81967","93143"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Female-only (including Supernumerary)","75423","89260"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","SC","Gender-Neutral","16290","18796"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","SC","Female-only (including Supernumerary)","25151","25151"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","ST","Gender-Neutral","5395","6368"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","35508","44665"
