"College","Branch","Quota","Category","Gender","O.R.","C.R."
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","58262","71009"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","64573","64573"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","1023","1023"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","10820","11796"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","19996","25287"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","25385","25385"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","9874","11900"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","13628","13628"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","4396","4396"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","134130","240869"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","191592","191592"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","EWS","Gender-Neutral","36555","37799"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Gender-Neutral","81967","107517"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Female-only (including Supernumerary)","99617","109376"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","SC","Gender-Neutral","16290","19234"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","SC","Female-only (including Supernumerary)","25151","25151"
"Assam University, Silchar","Agricultural Engineering (4 Years, Bachelor of Technology)","HS","ST","Gender-Neutral","5395","6368"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","35508","45320"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","42362","42362"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","Gender-Neutral","1933","1933"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","6893","7033"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","12063","15452"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","15166","15166"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","8728","8854"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","9861","9861"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","2191","2191"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","77419","111483"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","85510","85510"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","EWS","Gender-Neutral","16778","18223"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Gender-Neutral","40862","50155"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OBC-NCL","Female-only (including Supernumerary)","51723","58402"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","SC","Gender-Neutral","11430","13641"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","SC","Female-only (including Supernumerary)","14211","14211"
"Assam University, Silchar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","ST","Gender-Neutral","3406","4585"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Gender-Neutral","46010","52296"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OPEN","Female-only (including Supernumerary)","47570","47570"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","EWS","Gender-Neutral","7948","8654"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Gender-Neutral","15254","17021"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","Female-only (including Supernumerary)","17316","17316"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Gender-Neutral","10188","10698"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","SC","Female-only (including Supernumerary)","10794","10794"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","AI","ST","Gender-Neutral","3185","3185"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","113738","167538"
"Assam University, Silchar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","128310","128310"
